Date,Applicant_Name,NGO_Name,City_Town_Village,Project_Name,Requested_Amount_PKR,Legitimate_Estimate_PKR,Fraud_Type,Fraud_Indicator,Population_Census_Record,Invoice_ID,Vendor_Name,Bank_Reference_No,Bank_Name,Is_Fraud
3/8/2021,Omar Butt,Roshan Welfare Trust,Sialkot,Disaster Relief Rapid Response,"Rs 566,900","Rs 566,855",Approved,Compliant with Guidelines,"835,337",INV-S07JORDB,United Medical & Relief Vendors,BR-HBL-8533729628,Habib Bank Limited,FALSE
4/9/2022,Fatima Anwar,Sahara Development Foundation,Rawalpindi,Community Health Camps,"Rs 2,339,300","Rs 2,339,280",Approved,Compliant with Guidelines,"3,357,612",INV-372VIUAD,All-Pakistan Medicals,BR-HBL-7028752125,Habib Bank Limited,FALSE
5/6/2022,Zara Saleem,Green Villages Pakistan,Karachi,Tree-Plantation & Greenery Initiative,"Rs 4,512,000","Rs 4,512,000",Approved,Compliant with Guidelines,"18,870,000",INV-T862VL1T,Shoab-Bhai Nursery,BR-MCB-9087586696,MCB Bank Limited,FALSE
5/9/2024,Ali Saleem,Green Villages Pakistan,Sialkot,Tree-Plantation & Greenery Initiative,"Rs 12,153,000","Rs 12,153,000",Approved,Compliant with Guidelines,"835,337",INV-DD5S0Q7O,Ali Plantation & Decore,BR-MEBL-9785393578,Meezan Bank,FALSE
3/25/2023,Khadija Malik,Green Villages Pakistan,Peshawar,Community Health Camps,"Rs 1,335,900","Rs 1,335,900",Approved,Compliant with Guidelines,"1,905,975",INV-TL1DRZ0X,EduServe Publishers,BR-MCB-1348230094,MCB Bank Limited,FALSE
5/11/2022,Khadija Butt,Sahara Development Foundation,Peshawar,Disaster Relief Rapid Response,"Rs 6,416,900","Rs 3,258,980",Approved,Compliant with Guidelines,"1,905,975",INV-U9PK42UD,Metro Office Solutions,BR-UBL-3399290112,United Bank Limited,FALSE
2/15/2022,Usman Javed,Sehat & Taleem Initiative,Multan,Rural School Rehabilitation,"Rs 253,500","Rs 253,490",Approved,Compliant with Guidelines,"2,215,381",INV-9OJRGHR4,Sunrise Stationers & Books,BR-ABL-7661224872,Allied Bank,FALSE
5/10/2023,Fatima Sheikh,Green Villages Pakistan,Abbottabad,Community Health Camps,"Rs 717,000","Rs 717,000",Approved,Compliant with Guidelines,"234,395",INV-CMUZ8DU9,EduServe Publishers,BR-ABL-2399898267,Allied Bank,FALSE
3/2/2021,Yasir Sheikh,Roshan Welfare Trust,Peshawar,Community Health Camps,"Rs 3,389,100","Rs 3,389,100",Approved,Compliant with Guidelines,"1,905,975",INV-OF7Y5R7U,PakTech Equipments Ltd,BR-HBL-4725804933,Habib Bank Limited,FALSE
11/6/2024,Mubashir Qureshi,Sahara Development Foundation,Karachi,Maternal and Child Health Outreach,"Rs 829,600","Rs 376,931",Approved,Compliant with Guidelines,"18,870,000",INV-GZSKIGUV,PakTech Equipments Ltd,BR-ALF-1270191643,Bank Alfalah,FALSE
1/9/2022,Yasir Shah,Sahara Development Foundation,Rawalpindi,Maternal and Child Health Outreach,"Rs 821,200","Rs 821,200",Approved,Compliant with Guidelines,"3,357,612",INV-63UMGTHK,SafeHands Pharmaceuticals Ltd,BR-SCB-5932859312,Standard Chartered Pakistan,FALSE
5/17/2024,Khadija Raza,Sehat & Taleem Initiative,Sialkot,Community Health Camps,"Rs 638,100","Rs 638,100",Approved,Compliant with Guidelines,"1,796,151",INV-MUTWXPIW,United Medical & Relief Vendors,BR-MEBL-4381398096,Meezan Bank,FALSE
9/6/2024,Yasir Hussain,Roshan Welfare Trust,Abbottabad,Rural School Rehabilitation,"Rs 10,537,400","Rs 10,537,380",Approved,Compliant with Guidelines,"234,395",INV-MLTFU577,SafeHands Pharmaceuticals Ltd,BR-ALF-5466755718,Bank Alfalah,FALSE
5/1/2023,Yasir Sheikh,Sahara Development Foundation,Karachi,Clean Water & Sanitation Project,"Rs 12,408,400","Rs 12,408,400",Approved,Compliant with Guidelines,"18,870,000",INV-06K37E4E,Qasim Plumbers &  Suppliers,BR-NBP-1051661565,National Bank of Pakistan,FALSE
1/2/2022,Sana Qureshi,Sahara Development Foundation,Quetta,Disaster Relief Rapid Response,"Rs 3,721,900","Rs 3,721,900",Approved,Compliant with Guidelines,"1,565,546",INV-7JTRG6IA,BlueSky Logistics Company,BR-ABL-1008963511,Allied Bank,FALSE
1/7/2021,Nadia Sheikh,Roshan Welfare Trust,Peshawar,Girls EDUCATION Drive,"Rs 8,575,200","Rs 8,575,200",Approved,Compliant with Guidelines,"1,905,975",INV-CZR7XWQF,Bright Future Printers,BR-UBL-4198804816,United Bank Limited,FALSE
2/8/2022,Fahad Shah,Sehat & Taleem Initiative,Faisalabad,Covid-19 Awareness & Vaccination Support,"Rs 115,500","Rs 115,400",Approved,Compliant with Guidelines,"3,691,999",INV-DE7FDR75,SafeHands Pharmaceuticals Ltd,BR-FBL-6749554656,Faysal Bank,FALSE
12/1/2023,Hassan Mirza,Sehat & Taleem Initiative,Multan,Vocational Training for Youth,"Rs 467,800","Rs 467,775",Approved,Compliant with Guidelines,"2,215,381",INV-0TKZGG1P,Shaheen Stationary,BR-UBL-4952383614,United Bank Limited,FALSE
4/15/2022,Mehwish Qureshi,Naya Umeed NGO,Karachi,Clean Water & Sanitation Project,"Rs 4,781,600","Rs 4,781,600",Approved,Compliant with Guidelines,"18,870,000",INV-0JGUC3TG,Farooq Builders & Construction,BR-ABL-6599111680,Allied Bank,FALSE
9/16/2024,Sana Hussain,Naya Umeed NGO,Faisalabad,Clean Water & Sanitation Project,"Rs 63,900","Rs 63,900",Approved,Compliant with Guidelines,"3,691,999",INV-KUVY7IDU,SafeHands Pharmaceuticals Ltd,BR-HBL-5823851925,Habib Bank Limited,FALSE
4/1/2023,Imran Sheikh,Naya Umeed NGO,Multan,Tree-Plantation & Greenery Initiative,"Rs 115,500","Rs 115,500",Approved,Compliant with Guidelines,"2,215,381",INV-4WON6FAW,Metro Office Solutions,BR-HBL-7177213869,Habib Bank Limited,FALSE
5/14/2023,Fatima Farooq,Sehat & Taleem Initiative,Rawalpindi,Clean Water & Sanitation Project,"Rs 123,500","Rs 123,500",Approved,Compliant with Guidelines,"3,357,612",INV-LDY3YGQA,Shoab & Wali Stationers,BR-UBL-0128722478,United Bank Limited,FALSE
11/24/2023,Nabeel Farooq,Naya Umeed NGO,Peshawar,Covid-19 Awareness & Vaccination Support,"Rs 673,300","Rs 673,300",Approved,Compliant with Guidelines,"1,905,975",INV-BWPLYK0Y,PakTech Equipments Ltd,BR-ASK-3319199674,Askari Bank,FALSE
8/30/2022,Fahad Ahmed,Green Villages Pakistan,Karachi,Girls EDUCATION Drive,"Rs 616,800","Rs 616,800",Approved,Compliant with Guidelines,"18,870,000",INV-FF2K5C3Z,Urfi Books Whole Saler,BR-SCB-7939784804,Standard Chartered Pakistan,FALSE
1/3/2024,Usman Butt,Roshan Welfare Trust,Sialkot,Clean Water & Sanitation Project,"Rs 505,000","Rs 505,000",Approved,Compliant with Guidelines,"835,337",INV-UKQHPZCA,Al-Faisal Supplies Ltd,BR-ALF-1260868306,Bank Alfalah,FALSE
10/8/2021,Nabeel Javed,Sehat & Taleem Initiative,Multan,Community Health Camps,"Rs 576,700","Rs 576,700",Approved,Compliant with Guidelines,"2,215,381",INV-K404C5CJ,Al-Faisal Supplies Ltd,BR-NBP-7492493138,National Bank of Pakistan,FALSE
3/19/2024,Yasir Malik,Green Villages Pakistan,Faisalabad,Disaster Relief Rapid Response,"Rs 1,500,400","Rs 1,500,390",Approved,Compliant with Guidelines,"3,691,999",INV-UM2KN2XH,BlueSky Logistics Company,BR-SCB-7656548797,Standard Chartered Pakistan,FALSE
11/1/2023,Hira Anwar,Sahara Development Foundation,Karachi,Rural School Rehabilitation,"Rs 2,451,000","Rs 1,451,000",Approved,Compliant with Guidelines,"18,870,000",INV-4BKBFC14,Sunrise Builders,BR-MEBL-5315157513,Meezan Bank,FALSE
9/11/2022,Omar Saleem,Sehat & Taleem Initiative,Sukkur,Vocational Training for Youth,"Rs 8,498,900","Rs 8,498,900",Approved,Compliant with Guidelines,"1,625,467",INV-FVU3F0ME,Metro Office Solutions,BR-MEBL-9674654992,Meezan Bank,FALSE
4/3/2021,Mubashir Malik,Sahara Development Foundation,Peshawar,Clean Water & Sanitation Project,"Rs 140,300","Rs 140,280",Approved,Compliant with Guidelines,"1,905,975",INV-B5AQY905,Ismail RO Plant,BR-MEBL-3972565004,Meezan Bank,FALSE
7/5/2024,Nabeel Farooq,Green Pakistan Welfare,Hyderabad,Livelihoods: Small Business Grants,"Rs 434,800","Rs 34,777",Procurement & Vendor Fraud,Mismatch between receipts and bank statements,"1,968,000",INV-YICYBU8S,SafeHands Pharmaceuticals Ltd,BR-NBP-5663340048,National Bank of Pakistan,TRUE
11/9/2022,Aisha Hussain,Sehat & Taleem Initiative,Karachi,Clean Water & Sanitation Project,"Rs 53,100","Rs 53,100",Approved,Compliant with Guidelines,"18,870,000",INV-NY1YC1L2,BlueSky Logistics Company,BR-HBL-4375722569,Habib Bank Limited,FALSE
3/21/2024,Fahad Qureshi,Roshan Welfare Trust,Multan,Disaster Relief Rapid Response,"Rs 12,188,300","Rs 12,188,300",Approved,Compliant with Guidelines,"2,215,381",INV-ZL5Y31K8,EduServe Publishers,BR-MEBL-7457472989,Meezan Bank,FALSE
2/14/2024,Mubashir Malik,Naya Umeed NGO,Sukkur,Covid-19 Awareness & Vaccination Support,"Rs 796,100","Rs 796,100",Approved,Compliant with Guidelines,"1,625,467",INV-HRDGKOU3,Nishat Pharmacy Ltd,BR-ALF-0722371331,Bank Alfalah,FALSE
7/15/2023,Yasir Shah,Sehat & Taleem Initiative,Multan,Disaster Relief Rapid Response,"Rs 460,200","Rs 460,200",Approved,Compliant with Guidelines,"2,215,381",INV-1WODGZDN,Nishat Pharmacy Ltd,BR-MEBL-7763046397,Meezan Bank,FALSE
1/20/2021,Hira Ahmed,Sehat & Taleem Initiative,Abbottabad,Child Health  Awareness & Outreach,"Rs 176,700","Rs 176,690",Approved,Compliant with Guidelines,"234,395",INV-OZ83EJFB,Shaid Transport,BR-MCB-0431289277,MCB Bank Limited,FALSE
4/4/2023,Khadija Abbasi,KARWAN HAMARA NGO,Faisalabad,Rural School Rehabilitation,"Rs 3,713,900","Rs 3,713,900",Approved,Compliant with Guidelines,"3,691,999",INV-8BGJU7DA,GreenLeaf Construction,BR-HBL-9300289124,Habib Bank Limited,FALSE
4/18/2024,Omar Abbasi,Sahara Development Foundation,Rawalpindi,Clean Water & Sanitation Project,"Rs 116,300","Rs 116,237",Approved,Compliant with Guidelines,"3,357,612",INV-8OCVF34E,Zubair Khan Water & Supplier,BR-ASK-8749078816,Askari Bank,FALSE
10/7/2024,Zara Malik,Roshan Welfare Trust,Shahdad Pur,Vocational Training for Youth,"Rs 1,889,500","Rs 1,889,445",Approved,Compliant with Guidelines,"208,491",INV-G0KSJH9P,BagSahib Stationers,BR-FBL-1548886529,Faysal Bank,FALSE
4/4/2024,Nabeel Malik,Naya Umeed NGO,Faisalabad,Covid-19 Awareness & Vaccination Support,"Rs 90,100","Rs 90,100",Approved,Compliant with Guidelines,"3,691,999",INV-LWRFLVRK,SafeHands Pharmaceuticals Ltd,BR-ABL-6783180179,Allied Bank,FALSE
3/29/2021,Sana Farooq,Sahara Development Foundation,Abbottabad,Clean Water & Sanitation Project,"Rs 1,757,500","Rs 1,757,500",Approved,Compliant with Guidelines,"234,395",INV-SWY0SZKB,GreenLeaf Construction,BR-SCB-2882069298,Standard Chartered Pakistan,FALSE
5/8/2024,Zara Shah,Naya Umeed NGO,Chukwal,Child Health Outreach Camp,"Rs 280,900","Rs 280,900",Approved,Compliant with Guidelines,"218,491",INV-24DE4I35,Shakoor Pharmecy,BR-FBL-5128739860,Faysal Bank,FALSE
4/29/2024,Bilal Ahmed,Sahara Development Foundation,Khair Pur,Disaster Relief Rapid Response,"Rs 3,441,100","Rs 3,441,055",Approved,Compliant with Guidelines,"126,285",INV-0VRSSDVB,Khairpur Hardware & Stationers,BR-MEBL-8550729769,Meezan Bank,FALSE
10/26/2023,Zara Sheikh,Green Villages Pakistan,Quetta,Clean Water & Sanitation Project,"Rs 10,719,100","Rs 10,719,100",Approved,Compliant with Guidelines,"1,565,546",INV-1TJRT2RM,Metro Office Solutions,BR-UBL-0102541244,United Bank Limited,FALSE
4/13/2023,Fatima Anwar,Naya Umeed NGO,Sukkur,Clean Water & Sanitation Project,"Rs 607,900","Rs 607,890",Approved,Compliant with Guidelines,"1,625,467",INV-LXB7GIOR,PakTech Equipments,BR-FBL-4471726490,Faysal Bank,FALSE
5/20/2024,Fatima Javed,Naya Umeed NGO,Abbottabad,Maternal and Child Health Outreach,"Rs 7,251,600","Rs 7,250,600",Approved,Compliant with Guidelines,"234,395",INV-U1NVMEAG,Educators Publishers ,BR-UBL-9266273103,United Bank Limited,FALSE
12/30/2024,Sana Raza,Green Villages Pakistan,Abbottabad,Livelihoods: Small Business Grants,"Rs 589,800","Rs 589,800",Approved,Compliant with Guidelines,"234,395",INV-QJ3A1IOP,BlueSky Logistics Company,BR-HBL-8230611337,Habib Bank Limited,FALSE
2/21/2023,Nabeel Khan,Roshan Welfare Trust,Lahore,Maternal and Child Health Outreach,"Rs 564,400","Rs 564,400",Approved,Compliant with Guidelines,"13,004,135",INV-KQGBHLFT,GreenLeaf Construction,BR-NBP-3049166537,National Bank of Pakistan,FALSE
6/8/2023,Hassan Mirza,Sahara Development Foundation,Rawalpindi,Vocational Training for Youth,"Rs 161,200","Rs 161,200",Approved,Compliant with Guidelines,"3,357,612",INV-NTCVL0YQ,Metro Office Solutions,BR-ASK-1037785795,Askari Bank,FALSE
11/22/2021,Yasir Anwar,Sahara Development Foundation,Faisalabad,Community Health Camps,"Rs 190,100","Rs 190,100",Approved,Compliant with Guidelines,"3,691,999",INV-2J4R40E0,PakTech Equipments,BR-FBL-9844430540,Faysal Bank,FALSE
9/16/2022,Imran Abbasi,Naya Umeed NGO,Lahore,Community Health Camps,"Rs 1,724,900","Rs 1,724,900",Approved,Compliant with Guidelines,"13,004,135",INV-2KB6JY5R,GreenLeaf Construction,BR-MEBL-6092461240,Meezan Bank,FALSE
1/27/2024,Bilal Butt,Sahara Development Foundation,Quetta,Covid-19 Awareness & Vaccination Support,"Rs 71,800","Rs 71,800",Approved,Compliant with Guidelines,"1,565,546",INV-JNJZ9G6D,EduServe Publishers,BR-ALF-1235980747,Bank Alfalah,FALSE
11/18/2021,Khadija Saleem,Naya Umeed NGO,Peshawar,Girls EDUCATION Drive,"Rs 765,600","Rs 765,600",Approved,Compliant with Guidelines,"1,905,975",INV-RLOA8O34,Bright Future Printers,BR-ABL-1564967706,Allied Bank,FALSE
4/22/2023,Mubashir Javed,Sahara Development Foundation,Peshawar,Community Health Camps,"Rs 2,211,000","Rs 2,211,000",Approved,Compliant with Guidelines,"1,905,975",INV-OFVYG72V,GreenLeaf Construction,BR-MCB-3433157536,MCB Bank Limited,FALSE
8/23/2023,Mehwish Qureshi,Green Pakistan Welfare,Rawalpindi,Tree-Plantation & Greenery Initiative,"Rs 421,600","Rs 421,571",Approved,Compliant with Guidelines,"3,357,612",INV-NDY69620,Usman Garden & Decore,BR-UBL-0986754630,United Bank Limited,FALSE
10/2/2024,Sana Malik,Green Villages Pakistan,Sukkur,Girls EDUCATION Drive,"Rs 1,852,200","Rs 1,852,200",Approved,Compliant with Guidelines,"1,625,467",INV-LAXHNOC2,Sunrise Stationers & Books,BR-SCB-2344104671,Standard Chartered Pakistan,FALSE
9/1/2023,Mehwish Farooq,Sahara Development Foundation,Lahore,Covid-19 Awareness & Vaccination Support,"Rs 252,300","Rs 252,300",Approved,Compliant with Guidelines,"13,004,135",INV-LYRSOAVA,Metro Office Solutions,BR-FBL-6163633232,Faysal Bank,FALSE
8/4/2023,Fatima Khan,Roshan Welfare Trust,Karachi,Maternal and Child Health Outreach,"Rs 4,318,800","Rs 4,318,800",Approved,Compliant with Guidelines,"14,916,456",INV-RNQF3ADT,Sunrise Stationers & Books,BR-HBL-4955449858,Habib Bank Limited,FALSE
12/29/2021,Hassan Qureshi,Roshan Welfare Trust,Faisalabad,Clean Water & Sanitation Project,"Rs 7,238,200","Rs 7,238,200",Approved,Compliant with Guidelines,"3,691,999",INV-NH44O931,United Medical & Relief Vendors,BR-UBL-6819197416,United Bank Limited,FALSE
3/6/2022,Usman Sheikh,Green Villages Pakistan,Sukkur,Covid-19 Awareness & Vaccination Support,"Rs 53,900","Rs 53,900",Approved,Compliant with Guidelines,"1,625,467",INV-LBH1NYKS,Al-Faisal Supplies,BR-ABL-0737011463,Allied Bank,FALSE
4/16/2022,Sana Butt,Green Villages Pakistan,Rawalpindi,Clean Water & Sanitation Project,"Rs 218,900","Rs 218,900",Approved,Compliant with Guidelines,"3,357,612",INV-6LILB7ZW,Metro Office Solutions,BR-ASK-5090899540,Askari Bank,FALSE
1/3/2023,Hassan Raza,Green Pakistan Welfare,Faisalabad,Vocational Training for Youth,"Rs 129,900","Rs 129,750",Approved,Compliant with Guidelines,"3,691,999",INV-8XGHIY1B,PakTech Equipments Ltd,BR-SCB-2291289025,Standard Chartered Pakistan,FALSE
